estimator,bias,rmse,bias_emp_ci_lower,bias_emp_ci_upper,abs_bias,dgp_number,N,T,fact_label,eps_autocorrelated,avg_diff_in_loading,eta_y,tau_x,beta,true_att,err_label,dgp_label
TWFE with Control,0.006485601052548121,0.33508637831193705,-0.6211068369857994,0.6820515711385684,0.2677918820883674,1,50,10,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.005964545422821192,0.16040712336378937,-0.3145736062967123,0.32247294382545943,0.12547793462005247,2,50,10,Constant,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,0.004527696483003676,0.14509537075104506,-0.28390582732886005,0.2854288611081115,0.11568734329591111,2,50,10,Constant,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.0018140607369520733,0.10377350603035275,-0.20278743087413717,0.20656826832115466,0.08258960605490269,2,50,10,Constant,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,0.0037156847122649553,0.16707798867330156,-0.3326772178930142,0.3181755027184997,0.13333176042439124,2,50,10,Constant,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,0.0010059310292478503,0.11988897628517675,-0.23835708148540133,0.2331683358464886,0.0943110502099688,2,50,10,Constant,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,-0.004878949205837247,0.16434885948019576,-0.3393731316665346,0.29811763951318543,0.12920010594657233,2,50,10,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,-0.003792222248814321,0.15207468009636202,-0.33191045586132767,0.2754120628363459,0.12050093570736967,2,50,10,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.002691565743732281,0.11163214112410776,-0.2303204838982266,0.20506841322649516,0.08902277915680881,2,50,10,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,-0.6302220664158441,0.6887956732550237,-1.183373651137043,-0.10085340833482652,0.6326762388064411,2,50,10,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,-0.25752825469382057,0.30741736668004244,-0.5983007389017142,0.06071854989027335,0.26629101028345387,2,50,10,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,0.00930671887659842,0.15379572474820583,-0.26551705116183266,0.31595503993989693,0.12060893077097216,2,50,10,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,0.007068324320475151,0.13880739823146487,-0.24431055486960146,0.2753906207102023,0.1107518751269277,2,50,10,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,-6.008358677055837e-4,0.10592428294321883,-0.1997896186678551,0.20517417371750887,0.08455897800694145,2,50,10,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,0.005174321612039801,0.16167304282486294,-0.3029125086176316,0.33567603393824985,0.12887245493611563,2,50,10,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,-0.0019198378126693272,0.1303602026678103,-0.2581285308366697,0.24892643348240856,0.1047402224420178,2,50,10,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,0.023607265311730883,0.42639647485242077,-0.8733238697588576,0.8326509918733453,0.33494924850531244,2,50,10,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,0.039405668410395896,0.3978216942644676,-0.7788055592480657,0.7926583744826389,0.3157941020070993,2,50,10,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.03190046958876681,0.2768740541772635,-0.5113917020537657,0.554829285374661,0.2192186962691014,2,50,10,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,0.01461297256728128,0.4572585308645181,-0.9080093172299992,0.8769241949681451,0.3642730840030469,2,50,10,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,0.005317637636996042,0.31869909095062665,-0.5949993635896415,0.6375438419645252,0.2535980638040452,2,50,10,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,0.011043065027386794,0.4454558710373496,-0.8355284885114289,0.9396980227799756,0.35326605323782617,2,50,10,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,0.02181716419373973,0.41139647183897693,-0.7605086525229152,0.8284987924144904,0.3308818365009782,2,50,10,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.025378339309432577,0.29244199951118494,-0.5368492161671363,0.6078701688679116,0.22961526524365586,2,50,10,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,-0.6201130699689636,0.8007570393169314,-1.609038445484093,0.31509280877512474,0.67402782304066,2,50,10,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,-0.29089908130605724,0.4476002280234785,-0.9778868259834335,0.4255200780625923,0.36917242125817734,2,50,10,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,0.010431283043663005,0.4358454550896222,-0.8623774948390229,0.8720939819168911,0.3437158757244556,2,50,10,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,0.01241801426373766,0.396263860255322,-0.7367358487480077,0.7982723062906394,0.3193861287188357,2,50,10,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.009720732852203163,0.2718832542537492,-0.5181885218226064,0.5409130294575195,0.21647925421580608,2,50,10,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,-0.49237273805417614,0.6914587163992123,-1.390109935221695,0.45518012253480505,0.5696662714293288,2,50,10,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,-0.18832547054162882,0.3904363744793516,-0.8692557764921508,0.443684753238134,0.3121557934865166,2,50,10,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,-0.0038143981269600767,0.15736826322175818,-0.2847801658632899,0.3303877124641211,0.12465515631235269,3,50,10,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth,-0.005888889026040926,0.14699305724008285,-0.2829736494831686,0.28319657464507975,0.11614511633336487,3,50,10,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-1.032697063695659,1.040457460774766,-1.2738810301827324,-0.7831530369417614,1.032697063695659,3,50,10,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TWFE via OLS,-0.008072985074382397,0.16736454654671767,-0.3182056503977274,0.3313481534545697,0.13178489844843366,3,50,10,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TWFE with Control,-1.0032118949433406,1.0114306107053825,-1.252039845996025,-0.7336669938072,1.0032118949433406,3,50,10,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TECCE,0.007180737051505437,0.17360975485955515,-0.32530187989948944,0.36717856838918067,0.13496403054797074,3,50,10,Linear Trend,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth,0.003018484369614866,0.1530406484484092,-0.2766070030313797,0.3107966790278771,0.12076052387344473,3,50,10,Linear Trend,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-1.1737558786882427,1.1815894115995444,-1.4442656058082521,-0.9160441626471677,1.1737558786882427,3,50,10,Linear Trend,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TWFE via OLS,-0.619294710073441,0.6744937337760776,-1.1177388148178777,-0.08569837831828248,0.6206041715899072,3,50,10,Linear Trend,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TWFE with Control,-1.4225362781172481,1.4341148591605208,-1.789530735940239,-1.0891036769748796,1.4225362781172481,3,50,10,Linear Trend,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TECCE,6.848591700222671e-4,0.15606811866313963,-0.29072134437600744,0.31806963589689063,0.12542268514781343,3,50,10,Autocorrelated,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth,1.4963047623572811e-4,0.14435431284298375,-0.27558538905475943,0.2840374651229363,0.11544986484062536,3,50,10,Autocorrelated,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-1.1081877692871365,1.114560639348692,-1.3380374531617933,-0.8654051860426615,1.1081877692871365,3,50,10,Autocorrelated,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TWFE via OLS,-0.08128400765613529,0.1851828360263631,-0.401145741210111,0.2380774952928323,0.14881747087956207,3,50,10,Autocorrelated,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TWFE with Control,-1.4592799131759904,1.4681413113251767,-1.7902771811781837,-1.1428490352510419,1.4592799131759904,3,50,10,Autocorrelated,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TECCE,0.02650605724926097,0.4446123096654653,-0.8669130647081809,0.8861430514234448,0.3536777017209818,3,50,10,Constant,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
gsynth,0.047723827176232254,0.4058150804093339,-0.8062369940868362,0.8280744697291932,0.3228256043050019,3,50,10,Constant,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-0.9691934987856012,1.0127501691471175,-1.5377376616734948,-0.3933655263923938,0.9691934987856012,3,50,10,Constant,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TWFE via OLS,0.016402195933446887,0.4654934475391922,-0.8955663637402936,0.8995335665383545,0.3699084407429948,3,50,10,Constant,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TWFE with Control,-0.9921399345916811,1.045438090705759,-1.6510949107984807,-0.3313297217394699,0.9922137146923246,3,50,10,Constant,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TECCE,0.005504416937973301,0.4361379161263016,-0.8916880967793892,0.8540377429498303,0.3432646761732699,3,50,10,Linear Trend,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
gsynth,0.019629782061585093,0.4168804827677907,-0.8322426092831082,0.8173664791075486,0.3322242184481042,3,50,10,Linear Trend,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-1.0055443517412288,1.049915072725679,-1.6080915954341999,-0.41515897040179867,1.0055443517412288,3,50,10,Linear Trend,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TWFE via OLS,-0.6187750380881226,0.800724955036616,-1.6587434527352138,0.3387018470855964,0.6710236337300827,3,50,10,Linear Trend,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TWFE with Control,-1.3259333077985394,1.3728304978217132,-2.003520599942987,-0.6520227355528401,1.3259333077985394,3,50,10,Linear Trend,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TECCE,0.01730228432138278,0.4176743162851655,-0.8185656875143885,0.8011312032305465,0.3338554605822979,3,50,10,Autocorrelated,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
gsynth,0.004710203677241548,0.3850750820260244,-0.7587537337361191,0.7250789451249832,0.30647426587702875,3,50,10,Autocorrelated,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-1.0226512193091803,1.0620430828331866,-1.5821728964584139,-0.46611115042162005,1.0226512193091803,3,50,10,Autocorrelated,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TWFE via OLS,1.9861637965621477,2.1397416953749278,0.46750417217964363,3.5210149928248557,1.9904390370499025,3,50,10,Autocorrelated,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TWFE with Control,-0.4835615410160643,0.6791786122182357,-1.3737807574589664,0.48451754139197467,0.565786874969985,3,50,10,Autocorrelated,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TECCE,0.006757736926185949,0.16622444676225917,-0.3109165376217815,0.3369108362876513,0.13278985382583833,1,50,15,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth,0.005765234827273272,0.15629645474246487,-0.2818332836376689,0.3141633624162883,0.12564111997589023,1,50,15,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,7.7000367170339e-4,0.11395535014198298,-0.2213594323805762,0.2227322083774694,0.0911117616669458,1,50,15,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,0.0029451934820943267,0.15854244596581066,-0.2899271493939124,0.31592687558638977,0.12762188145790587,1,50,15,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,-6.445683599541794e-4,0.11806030334466722,-0.22852745613576306,0.23178624911017448,0.09492403163906711,1,50,15,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TECCE,-0.005160492971579331,0.1825315099978858,-0.37961521880821103,0.3359171120992323,0.14369060274930479,1,50,15,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth,-0.004883144568641429,0.16865484294714725,-0.3388297355288794,0.3200298572598749,0.13452789768388834,1,50,15,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.002415742554173501,0.11565555477712389,-0.2292420881073143,0.22747416866980857,0.0931151698354556,1,50,15,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,-0.01615339724240788,0.36667699563279976,-0.7089625966681367,0.6906479456490392,0.2916365116804207,1,50,15,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,3.458681526952696e-4,0.20596316332829787,-0.3793135315632873,0.40976335590664464,0.16337678234343234,1,50,15,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TECCE,4.7450430991616826e-6,0.16312153819228228,-0.3208524268114351,0.32390825000425966,0.12850264670680575,1,50,15,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth,-0.002238092061665725,0.15296577101464687,-0.31440949662516204,0.2993377373256552,0.12054043908419956,1,50,15,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,5.721892355965468e-4,0.10783841793768853,-0.20914953364683375,0.21766155145382743,0.08711566423653161,1,50,15,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,-0.008641730264636778,0.5366504585584715,-1.0680667343600105,1.0131673369680443,0.42692492322561154,1,50,15,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,0.0022157464481267456,0.28658430567806215,-0.5741848849643001,0.5470198727972133,0.22907311677802852,1,50,15,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.045522806546362315,0.4791186879346105,-0.9207990113804065,0.9642398684448014,0.3783334402696245,1,50,15,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth,0.0673770875241786,0.4555503544256874,-0.848282978198401,0.9203590960520522,0.3591012426010746,1,50,15,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.057728837909688455,0.3249192090472836,-0.5961750522226513,0.6733521696685837,0.25545826511593056,1,50,15,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,0.027294029109314635,0.4598012621170387,-0.889586005624741,0.9173580481148614,0.3611102691248165,1,50,15,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,0.018569584780362827,0.32753859576005945,-0.6414635872634054,0.6469377149480164,0.25856846421734425,1,50,15,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.011813227736794128,0.49498118059289004,-1.0377005053718156,0.8879845133551938,0.3897370331184645,1,50,15,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth,0.02099706712810585,0.46578368883046956,-0.93705449467816615,0.824363863396776,0.36957596448882746,1,50,15,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.02668887307771525,0.31827327758829305,-0.5810199950912929,0.6474379229563846,0.25579009103415246,1,50,15,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,-0.019322448100424855,0.5539731847562517,-1.1748580812853124,1.0426624782267169,0.43904020309762104,1,50,15,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,-0.0030062175717294093,0.360537562995709,-0.6999085744045921,0.6892682147959983,0.28576550155926633,1,50,15,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.01981332572346269,0.47450476488173726,-0.9001782958118207,0.92369758421622294,0.3818317334345308,1,50,15,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth,0.020788059997835298,0.44215780896553736,-0.8311272900478858,0.8372069454766878,0.35367415017327847,1,50,15,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.0188215793732844,0.3053881822831147,-0.5774657967694268,0.6015114296482985,0.24484821352866656,1,50,15,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,0.03181900442778271,0.8049737508514805,-1.5425069308290336,1.5699465130922547,0.6472989614348177,1,50,15,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,0.03942201153402241,0.48292396393153053,-0.9234086991728484,0.9733020928720623,0.3852262080438214,1,50,15,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.009577375817394545,0.14674464622199526,-0.2888175610789358,0.29729255953341566,0.11745273036864014,2,50,15,Constant,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,0.013604135166342733,0.1439350377504118,-0.2662299831270671,0.29255252879462346,0.11589988555614458,2,50,15,Constant,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.010598520484111584,0.1002370068279126,-0.18585113688006383,0.20254750340543617,0.07946413854783525,2,50,15,Constant,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,0.011998995422396862,0.16049870310299474,-0.3051353528967196,0.3168606183097365,0.12889084497201944,2,50,15,Constant,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,0.009881213249606844,0.11377926891837929,-0.20837929740615865,0.23700531117209628,0.09052385823918564,2,50,15,Constant,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,0.0030624580331387293,0.15579785819732164,-0.30276791270825615,0.3184492609041205,0.12367049886713834,2,50,15,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,0.001716687568287108,0.14633438841943694,-0.29378532572198796,0.28441195628529725,0.11659438519003168,2,50,15,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.00553891404122089,0.10222386012271262,-0.1894668312915015,0.20248226757775314,0.08221252143381433,2,50,15,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,-0.9397362517740985,1.0105438590795501,-1.6301887869861273,-0.19314251663981366,0.9412571848842756,2,50,15,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,-0.33338045501485936,0.38714103501335195,-0.716098498729755,0.07311235211106357,0.3418968999483475,2,50,15,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,-0.007828892432667768,0.15173618182892112,-0.3079371550420571,0.28042502343413245,0.12080122916389333,2,50,15,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,-0.006187792158639807,0.14098248631589616,-0.2912654600888898,0.2620001516333848,0.11236346025071348,2,50,15,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,-0.001399589017041288,0.09930719638209204,-0.1969085706484287,0.20641821492697884,0.07811571278226416,2,50,15,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,0.856494221884835,0.9232326409931805,0.19373151448935522,1.5668493166411366,0.8582513711862177,2,50,15,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,0.2813834051481486,0.33901758218829253,-0.09416204930725454,0.6506816369424898,0.29328291484132,2,50,15,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,0.005859656969599268,0.40760254176783745,-0.8237454944461629,0.790216290964082,0.32348189755420453,2,50,15,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,0.018014469038386313,0.380744203009563,-0.7146247256462571,0.7391616478237194,0.3087028082596694,2,50,15,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.028879768581320263,0.2644076544605852,-0.4968958374115385,0.515980379919339,0.20991915548818407,2,50,15,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,-0.0063840487523986675,0.4330596876228526,-0.8147868380200937,0.8207662024410297,0.3516664231757123,2,50,15,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,9.99393813147676e-4,0.3038171716479702,-0.5836042263422762,0.5895543569198193,0.24275300165071842,2,50,15,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,0.03010696181673328,0.42727421179909425,-0.8280602397703128,0.8615565855415147,0.34130344451199945,2,50,15,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,0.04212550015998521,0.4139295874550603,-0.7777048140106707,0.8377648310966965,0.33176917434830855,2,50,15,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.027343172230133987,0.2933352440583123,-0.5598628827577157,0.6078903250067844,0.23246061758108066,2,50,15,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,-0.9374494700681618,1.0902369058062893,-2.051371022424097,0.2231743173461051,0.9627688521665241,2,50,15,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,-0.43329023815049916,0.5754108743041972,-1.1846824322285623,0.32911175083958627,0.4823591448901075,2,50,15,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,0.01881177397257419,0.4125731621448912,-0.7617381334675378,0.8398302090932008,0.3256220472107415,2,50,15,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,0.017756139975712595,0.38439777123366214,-0.6955165178997467,0.7808099795486211,0.3086458676551361,2,50,15,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.002568594849580001,0.2854528740022207,-0.5898477385731475,0.5540811395190413,0.22635976632343768,2,50,15,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,0.2028947466909808,0.5009021799076808,-0.716100496140961,1.1125125203295438,0.3990120029861115,2,50,15,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,0.06124863567612192,0.35318226858507956,-0.618192186236135,0.7541667581318702,0.2799692207940175,2,50,15,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,2.4168513568236042e-4,0.14997397573268853,-0.29984320347655824,0.29158191368106035,0.11865299531243827,3,50,15,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth,9.359368424423248e-4,0.1444627991954321,-0.27518465137123055,0.28074568196067234,0.11436615249192107,3,50,15,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-1.0292955373250587,1.0356179491862225,-1.2478642307935492,-0.8105877508739143,1.0292955373250587,3,50,15,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
