year,sic3,theil,gini,cv,rmd,mld,mkpm_med,mkpm_avg,n,assets,soe,foreign,determ1,determ2,determ3,herf_3dt_city,eg_3dt_city,avgtariff_ind3,numtariff_ind3,input_tariff,exports,lnasset_proc,ln_theil_proc,lnn_proc,lnasset_single,ln_theil_single,lnn_single,lnasset_nonexp,ln_theil_nonexp,lnn_nonexp,ln_theil_pr,ln_theil_mc,lnn_prmc,lnasset_prmc,ln_theil_tfp,lnasset_surv,ln_theil_surv,lnn_surv,lnasset_enex,ln_theil_enex,lnn_enex,lnasset_soe,ln_theil_soe,lnn_soe,lnasset_nonsoe,ln_theil_nonsoe,lnn_nonsoe,lnasset_coast,ln_theil_coast,lnn_coast,lnasset_inland,ln_theil_inland,lnn_inland,a01,tariff01,post02,t01post02,hightariff,hightariff_post02,rel_year,ln_gini,ln_theil,ln_cv,ln_mld,ln_rmd,lnn,lnasset,lnexports,lnfdi,lnit,tariff,y,x1,x2,g,ytilde,x1tilde,x2tilde
1998,131,0.0231568555124439,0.115937648784373,0.224638579208285,0.0813735139102562,0.0218856530021541,0.961498975753784,0.992654740810394,8,7036.18782031957,0.987918376922607,3317,0,0,0,0.00621858146041632,0.00563674792647362,54.761905670166,21,29.2774257659912,902036.875,,,,8.80650329589844,-3.76865029335022,7.82244491577148,8.83243751525879,-3.76583075523376,7.88306951522827,,,,,-2.59990572929382,9.17595863342285,-3.90831565856934,6.79570579528809,8.6344747543335,-3.70335721969605,7.52671766281128,8.94696807861328,-3.59554076194763,7.52617883682251,8.59886169433594,-4.34612846374512,6.79682350158691,9.21421813964844,-3.91603302955627,6.81563997268677,8.63094997406006,-3.77005934715271,7.51697731018066,,0.559492073059082,FALSE,0,TRUE,FALSE,-4,-2.15470274286586,-3.76546440784222,-1.49326248291413,-3.82192397089755,-2.50870544085972,7.91971976092458,8.85882179969098,13.7124106795839,8.10681603894705,3.37681676739994,0.54761905670166,-3.76546440784222,0.00563674792647362,-2.59990572929382,2002,-3.76546440784222,0.00563674792647362,-2.59990572929382
1999,131,0.0204325582081649,0.109431545753279,0.209966423596686,0.0770442246467091,0.0194659982536451,0.951323747634888,0.980905950069427,8,7210.88124199744,0.987213969230652,3124,0,0,0,0.000986043945886195,0.00602801563218236,56.761905670166,21,29.2774257659912,654283.4375,,,,8.83285522460938,-3.88071584701538,7.75190544128418,8.873948097229,-3.88852214813232,7.83873748779297,,,,,-2.65557098388672,9.11170959472656,-3.97381234169006,6.98193454742432,8.65973091125488,-3.83759045600891,7.33628559112549,8.94078731536865,-3.76587080955505,7.4460015296936,8.74077796936035,-4.29923486709595,6.80128288269043,9.2440013885498,-4.09991216659546,6.74405908584595,8.6508092880249,-3.84711980819702,7.47477197647095,,0.559492073059082,FALSE,0,TRUE,FALSE,-3,-2.21245607815325,-3.89062565977516,-1.56080764868289,-3.93908601469092,-2.56337567594087,7.86787149039632,8.8833464477751,13.3912959272255,8.04686951095958,3.37681676739994,0.56761905670166,-3.89062565977516,0.00602801563218236,-2.65557098388672,2002,-3.89062565977516,0.00602801563218236,-2.65557098388672
2000,131,0.0190859838847197,0.105668567584268,0.202569951835247,0.0737651433635658,0.0182054069137212,0.96583354473114,0.994530498981476,8,7525.33593472863,0.986240148544312,2839,0,0,0,0.00113976362627,0.00700331712141633,56.7142868041992,42,28.5426464080811,874453.9375,,,,8.88779258728027,-3.93179106712341,7.6381983757019,8.90624046325684,-3.95683670043945,7.74759674072266,0.568793296813965,0.574634432792664,7.10906219482422,9.01715850830078,-2.65885782241821,9.08377075195312,-4.06292104721069,7.09090995788574,8.71066188812256,-3.86419749259949,7.08590126037598,9.04398155212402,-3.77744960784912,7.22838830947876,8.71120262145996,-4.37165546417236,6.9255952835083,9.21300506591797,-4.1598424911499,6.76388502120972,8.73174571990967,-3.89623379707336,7.33302307128906,,0.559492073059082,FALSE,0,TRUE,FALSE,-2,-2.2474478041783,-3.95880104133828,-1.59667001092489,-4.00603664584836,-2.60686897109703,7.78155595923534,8.92603073110949,13.6813548990976,7.95120715647297,3.35139933403162,0.567142868041992,-3.95880104133828,0.00700331712141633,-2.65885782241821,2002,-3.95880104133828,0.00700331712141633,-2.65885782241821
2001,131,0.016237600803768,0.0978426201055266,0.18521048345313,0.0678983669945983,0.0157412114165995,0.998089611530304,1.00903522968292,8,7162.3759314456,0.98539125919342,2684,0,0,0,0.00122729083523154,0.00949500314891338,55.9492073059082,21,27.8078670501709,445740.625,,,,8.79652404785156,-4.12497186660767,7.53796243667603,8.8531436920166,-4.11413288116455,7.71735143661499,1.19818139076233,1.1695990562439,7.12769365310669,8.87948513031006,-2.62892389297485,8.8912878036499,-4.20352697372437,7.45587682723999,8.82563877105713,-3.91243600845337,6.34913921356201,9.05900382995605,-3.94680523872376,7.02108383178711,8.62065982818604,-4.41813039779663,7.07496309280396,9.10837078094482,-4.28677272796631,6.72982406616211,8.72184944152832,-4.0648980140686,7.28961038589478,0.559492073059082,0.559492073059082,FALSE,0,TRUE,FALSE,-1,-2.32439500846948,-4.12042568892044,-1.68626235225371,-4.15147307474866,-2.68974329485989,7.74153358928183,8.87659703891075,13.0074925035356,7.89506349809157,3.32531896807942,0.559492073059082,-4.12042568892044,0.00949500314891338,-2.62892389297485,2002,-4.12042568892044,0.00949500314891338,-2.62892389297485
2002,131,0.0140459776884534,0.0919431459560141,0.17041252967745,0.0644440097339676,0.0138637558024437,1.01790130138397,1.02088499069214,8,6999.79937180997,0.984839677810669,2547,0.466172903776169,9.33115196228027,0.00757044833153486,0.00146813807077706,0.0102768549695611,40.0714302062988,21,20.8769283294678,700527.875,,,,8.78092575073242,-4.26725912094116,7.52294111251831,8.84871101379395,-4.26859140396118,7.67832612991333,-0.421808004379272,-0.390700966119766,7.24136638641357,8.84054565429688,-2.58891725540161,8.91166877746582,-4.29177093505859,7.45472002029419,8.54984664916992,-4.22777843475342,6.18826389312744,9.02481555938721,-3.99852108955383,6.76734304428101,8.7004280090332,-4.52226161956787,7.20489263534546,8.99062442779541,-4.25207853317261,6.70196056365967,8.76557445526123,-4.30102634429932,7.24494171142578,,0.559492073059082,TRUE,0.559492073059082,TRUE,TRUE,0,-2.38658487169964,-4.26541920970924,-1.76953313631924,-4.27847734051192,-2.74195849830804,7.70300768247924,8.85363676645671,13.4595894369725,7.84267147497946,3.03864464153493,0.400714302062988,-4.26541920970924,0.0102768549695611,-2.58891725540161,2002,-4.26541920970924,0.0102768549695611,-2.58891725540161
2003,131,0.0124241453697738,0.0857112185084097,0.160517985432201,0.0589924654280768,0.0122065796549661,1.0438004732132,1.05213129520416,8,7001.2696582956,0.98191624879837,2429,0.466172903776169,9.33115196228027,0.00757044833153486,0.00179162051063031,0.0110184075310826,37.5714302062988,21,19.2657890319824,920993.75,,,,8.80314350128174,-4.43214273452759,7.56008052825928,8.80596160888672,-4.38138580322266,7.65869951248169,1.76584053039551,1.77630937099457,7.22983884811401,8.85833549499512,-2.60725998878479,9.00468158721924,-4.307448387146,7.15539646148682,8.52871894836426,-4.53591442108154,6.79458665847778,9.14914989471436,-3.88611912727356,6.44888925552368,8.67812442779541,-4.70561790466309,7.34083557128906,8.98526191711426,-4.54234123229981,6.69826793670654,8.76644325256348,-4.35120868682861,7.21744346618652,,0.559492073059082,TRUE,0.559492073059082,TRUE,TRUE,1,-2.45677155753012,-4.38811349248191,-1.82934928392257,-4.40578015664069,-2.83034554784021,7.68432406768116,8.85384679134664,13.7332085291124,7.79523492900217,2.95833093399947,0.375714302062988,-4.38811349248191,0.0110184075310826,-2.60725998878479,2002,-4.38811349248191,0.0110184075310826,-2.60725998878479
2004,131,0.0124238676715694,0.0848704602119354,0.161282302079314,0.0581842152644271,0.0121072787419969,1.03789472579956,1.04542875289917,8,6300.81139154161,0.984151244163513,2932,0.466172903776169,9.33115196228027,0.00757044833153486,0.00144987599924207,0.0118144061416388,35.0714302062988,21,17.8033027648926,1182992.25,,,,8.69825553894043,-4.40134859085083,7.90174770355225,8.98187732696533,-4.38804864883423,7.91899251937866,-0.166299372911453,0.0366193056106567,6.92657709121704,8.78143310546875,-2.50875234603882,9.19958305358887,-4.25379323959351,6.44888925552368,8.54898357391357,-4.45676374435425,7.68570327758789,9.15756034851074,-3.9991979598999,6.21860027313232,8.61242198944092,-4.50774717330933,7.74370336532593,8.89124488830566,-4.45405864715576,6.95081472396851,8.65636539459229,-4.37002515792847,7.47590589523315,,0.559492073059082,TRUE,0.559492073059082,TRUE,TRUE,2,-2.46662918246388,-4.3881358442252,-1.82459902039573,-4.41394845831211,-2.84414117641814,7.94058382710424,8.7484336963948,13.9835575917979,7.98344006300654,2.8793839886755,0.350714302062988,-4.3881358442252,0.0118144061416388,-2.50875234603882,2002,-4.3881358442252,0.0118144061416388,-2.50875234603882
2005,131,0.0123124914350515,0.0835378250012038,0.160805058221371,0.0568145783513632,0.0119753266947046,1.05339932441711,1.06223845481873,8,7154.33552631579,0.986655414104462,3040,0.466172903776169,9.33115196228027,0.00757044833153486,0.00135763455182314,0.0147083373740315,35.0714302062988,21,17.6314601898193,1868971.5,,,,8.83925628662109,-4.4178638458252,7.95577573776245,8.85793304443359,-4.39386558532715,7.84267139434815,1.65247642993927,1.65992307662964,7.6118426322937,8.87236881256104,-2.55952072143555,9.33115196228027,-4.25476408004761,6.3526291847229,8.71788692474365,-4.47508859634399,7.7748556137085,9.3515796661377,-3.99541878700256,5.96357917785645,8.77885055541992,-4.49818325042725,7.84971380233765,8.98431873321533,-4.49270009994507,7.03174114227295,8.8040885925293,-4.37923717498779,7.50768995285034,,0.559492073059082,TRUE,0.559492073059082,TRUE,TRUE,3,-2.48245575566975,-4.39714096811451,-1.82756246613145,-4.42490685466233,-2.86796232507131,7.99091546309133,8.87547381923857,14.4408988375253,8.01961279440027,2.86968481713316,0.350714302062988,-4.39714096811451,0.0147083373740315,-2.55952072143555,2002,-4.39714096811451,0.0147083373740315,-2.55952072143555
1998,132,0.0204134624418712,0.108248516996208,0.210745927000001,0.0761175367309801,0.0192811284328464,0.946754276752472,0.986983478069305,8,7512.58064516129,0.93927538394928,2325,0,0,0,0.00173818366602063,0.00213041645474732,16.625,4,29.2774257659912,679432.125,,,,8.89253520965576,-3.88661932945251,7.57353115081787,8.8746862411499,-3.87790584564209,7.55955934524536,,,,,-2.4226381778717,9.36674976348877,-4.20894575119019,6.50876903533936,8.56878852844238,-3.77434539794922,7.17011976242065,8.75238704681397,-3.62348318099976,6.97728157043457,9.13091373443604,-4.34831523895264,6.80128288269043,9.01760673522949,-4.14123439788818,6.87212800979614,8.83571720123291,-3.73788547515869,6.91373729705811,,0.13875,FALSE,0,FALSE,FALSE,-Inf,-2.22332561199746,-3.89156067216467,-1.55710200850282,-3.94862846283787,-2.575476597417,7.58629630715272,8.92433431358269,13.4290126179593,7.75147531802146,3.37681676739994,0.16625,-3.89156067216467,0.00213041645474732,-2.4226381778717,Inf,-3.89156067216467,0.00213041645474732,-2.4226381778717
1999,132,0.0173114123048169,0.100599356883183,0.192664033142589,0.0703331848490972,0.0165312155692274,0.957732617855072,0.986934542655945,8,8271.98418782942,0.93114161491394,2087,0,0,0,0.00176316080614924,0.00233388156630099,16.625,4,29.2774257659912,723517.0625,,,,8.97429847717285,-4.04865169525147,7.46450996398926,8.98698616027832,-4.0390453338623,7.45066070556641,,,,,-2.40774250030518,9.35224533081055,-4.26338148117065,6.72623348236084,8.58862400054932,-3.91120958328247,6.84694290161133,8.76805591583252,-3.7937228679657,6.7580943107605,9.2509593963623,-4.3926944732666,6.81783056259155,9.01959800720215,-4.31230163574219,6.81783056259155,9.02162837982178,-3.86182618141174,6.7580943107605,,0.13875,FALSE,0,FALSE,FALSE,-Inf,-2.29660941414824,-4.05638932416688,-1.64680736788138,-4.10250483269459,-2.65451154532669,7.48155570190952,9.02062968521706,13.4918794080513,7.6434829070772,3.37681676739994,0.16625,-4.05638932416688,0.00233388156630099,-2.40774250030518,Inf,-4.05638932416688,0.00233388156630099,-2.40774250030518
